addressID ,street ,city,state,postalCode,Country,ssn 
0,289 Lost Passage,Harker Heights,Nevada,21613,US,100000002
1,470 W Lodge Inlet,Popponesset Island,Nevada,39116,US,100000010
2,127 Blue Robin,Orient,Louisiana,5923,US,100000029
3,517 Burning Lake Bay,Pompano Beach,Georgia,40165,US,100000029
4,P.O. Box 95799,Matawan borough,Nebraska,78389,US,100000037
5,481 Sunny Nectar Divide,Sky Lake,Virginia,25890,US,100000045
6,P.O. Box 98424,Kentland,Oregon,56950,US,100000045
7,588 Tawny Trafficway,Waller,North Dakota,98084,US,100000053
8,965 Foggy Rise Plaza,Rich Creek,Hawaii,1250,US,100000061
9,61 Cedar Glade,Gauley Bridge,Florida,7422,US,100000061
10,229 Iron Perkins Dell,Bagnell,Wyoming,78823,US,100000088
11,970 Green Overpass,Junction,Alabama,24199,US,100000096
12,666 Fallen Heights,North Wildwood,Minnesota,51381,US,100000118
13,485 Stream Edge,Bremen village,Wisconsin,81874,US,100000126
14,128 Silent Main,Kent,Delaware,81636,US,100000126
15,P.O. Box 46518,Hailey,North Carolina,84058,US,100000134
16,P.O. Box 36831,Hernando Beach,Minnesota,39195,US,100000142
17,558 Broad Meadow,Marcellus village,Tennessee,403,US,100000150
18,508 Honey View Isle,Pemberville village,Georgia,23722,US,100000169
19,P.O. Box 65136,Malin,Arizona,93551,US,100000177
