timesheetID ,authNumber ,ssn ,startTime ,endTime 
1,100087,100000002,2024-01-01 08:00:00,2024-01-01 16:00:00
2,100087,100000002,2024-01-03 08:30:00,2024-01-03 16:00:00
3,100087,100000002,2024-01-05 08:00:00,2024-01-05 16:15:00
4,100095,100000010,2024-06-05 08:00:00,2024-06-05 17:45:00
5,100095,100000010,2024-06-08 08:10:00,2024-08-05 17:40:00
6,100095,100000010,2024-06-09 08:45:00,2024-06-09 17:45:00
7,100109,100000029,2024-03-09 08:30:00,2024-03-09 17:30:00
8,100109,100000029,2024-03-12 08:30:05,2024-03-12 17:30:00
9,100109,100000029,2024-03-14 08:40:05,2024-03-14 17:30:30
10,100109,100000010,2024-03-09 08:35:00,2024-03-09 16:35:00
11,100109,100000010,2024-03-12 08:30:05,2024-03-12 08:30:05
12,100109,100000010,2024-03-14 08:20:00,2024-03-14 17:20:30
